"","Sample_id","NO3_mean","NH4_mean","TIN_mean","Institution_specimen_id","Spp_code","new_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Country","State","County_fixed","County","Municipality","Locality","hand_georef_lat","hand_georef_lon","year","month","day","tissue_type","seed_scored","seed_eplus","Endo_status_liberal","Endo_status_conservative","Date_scored","scorer_id","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","infl_count","scorer_factor","collector_factor","county_label","lon","lat","type","loctype","address","north","south","east","west","Herb_code","spp_code_1","specimen_code","tissue_code","HISTO_0","HISTO_11","HISTO_12","HISTO_21","HISTO_22","HISTO_23","HISTO_24","HISTO_31","HISTO_41","HISTO_42","HISTO_43","HISTO_52","HISTO_71","HISTO_81","HISTO_82","HISTO_90","HISTO_95","species_index","species","decade","DevelopedOpenSpace","DevelopedLowIntensity","MediumDeveloped","HighDeveloped","PastureHay","CultivatedCrops","TotalAg","TotalPixels","TotalDeveloped","OtherLC","PercentUrban","PercentAg","spec_PercentUrban","spec_PercentAg","year_bin","endo_status_text"
"1","KANU_ELVI_104",8.61156463623047,15.3395509719849,23.951114654541,"KANU00183726","ELVI","KANU00183726","Richard P Williams","Williams","Richard","Richard Williams","R Williams","Emmons County, North Dakota, United States","United States","North Dakota","Emmons County","Emmons",NA,"Westfield, 4.5 mi S, 0.5 mi W",45.96428,-100.21276,1971,7,22,"seed",5,0,1,0,"10/20/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector777","County",-100.2953039,46.2061318,"administrative_area_level_2","approximate","emmons county, nd, usa",46.6349751,45.941373,-99.8783509,-100.6620149,"KANU","ELVI",104,NA,0,5834,0,5325,1485,119,24,9,120,0,0,5,101734,15911,53262,528,4156,"3","E. virginicus",1970,5325,1485,119,24,15911,53262,69173,188512,6953,59.6174248854184,3.68835936173824,36.6942157528433,NA,NA,"post-1970","E+"
"2","LL_AGHY_36",10.6152362823486,17.7199954986572,28.3352298736572,"LL00312184","AGHY","00312184","John R. Crutchfield","Crutchfield","John","John Crutchfield","J Crutchfield","Hemphill County, Texas, United States","United States","Texas","Hemphill County","Hemphill",NA,"On bank of spring-fed creek feeding into Lake Marvin, Panhandle Nat'l Grassland 14 miles east of Canadian.",NA,NA,1967,7,20,"stem",NA,NA,0,0,NA,"JFWhite",1,NA,NA,NA,NA,"Scorer15","Collector410","County",-100.3497895,35.9022267,"administrative_area_level_2","approximate","hemphill county, tx, usa",36.056491,35.619114,-100.000387,-100.5412799,"LL","AGHY",36,NA,0,362,0,2343,4017,2435,713,826,1,0,1,54108,129396,0,2473,13862,9576,"1","A. hyemalis",1960,2343,4017,2435,713,0,2473,2473,220113,9508,94.5568866900183,4.3195994784497,1.12351383153199,NA,NA,"pre-1970","E-"
"3","KANU_ELVI_154",10.5215196609497,18.7319774627686,29.2534980773926,"KANU0015634","ELVI","KANU0015634","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Meade County, Kansas, United States","United States","Kansas","Meade County","Meade",NA,"Meade, E edge",37.28564,-100.3396,1971,9,11,"seed",5,0,0,0,"1/3/24","KarlSchrader",1,NA,NA,NA,NA,"Scorer17","Collector821","County",-100.3497895,37.2698449,"administrative_area_level_2","approximate","meade county, ks, usa",37.4753911,37.000022,-100.089155,-100.652728,"KANU","ELVI",154,NA,0,41,0,6613,1733,850,179,102,1876,0,43,118,109912,10860,80400,518,3055,"3","E. virginicus",1970,6613,1733,850,179,10860,80400,91260,216300,9375,53.4743411927878,4.33425797503467,42.1914008321775,NA,NA,"post-1970","E-"
"4","MO_ELVI_56",8.51247596740723,15.2558603286743,23.7683372497559,"Dr.FVHaydenJuly1853-54;3532247","ELVI","r.FVHaydenJuly1853-54;3532247","F. V. Hayden","Hayden","F.","F. Hayden","F Hayden","Fort Pierre, Stanley County, South Dakota, USA","USA","South Dakota","Stanley County","Stanley","Fort Pierre","Hab. below Fort Pierre",NA,NA,1854,7,1,"seed",6,0,0,0,"5/31/2023","Chris Oxley",1,NA,NA,NA,NA,"Scorer5","Collector295","County",-100.3737447,44.3535933,"locality","approximate","fort pierre, sd 57532, usa",44.389516,44.3447721,-100.3588411,-100.400762,"MO","ELVI",56,NA,0,11093,0,5630,8343,8060,3665,118,2487,165,324,229,143770,888,5841,2409,1653,"3","E. virginicus",1850,5630,8343,8060,3665,888,5841,6729,194675,25698,83.3430075767304,13.2004623089765,3.45653011429305,NA,NA,"pre-1970","E-"
"5","AM_ELVI_176",9.20023059844971,12.5322313308716,21.7324619293213,"TAES87791","ELVI","TAES87791","Simon E. Wolff","Wolff","Simon","Simon Wolff","S Wolff","Tom Green County, Texas, United States","United States","Texas","Tom Green County","Tom Green",NA,NA,NA,NA,1933,7,5,"seed",5,4,1,1,"02/28/2020","BellaGutierrez",1,NA,NA,NA,NA,"Scorer3","Collector832","County",-100.439656,31.3839017,"administrative_area_level_2","approximate","tom green county, tx, usa",31.7054179,31.086122,-100.1112341,-101.267947,"AM","ELVI",176,NA,0,6607,0,30460,19835,18996,10218,112,1007,916,9,68829,1136,271,72292,1010,54,"3","E. virginicus",1930,30460,19835,18996,10218,271,72292,72563,231752,79509,34.3815803099865,34.30779453899,31.3106251510235,NA,NA,"pre-1970","E+"
"6","KANU_ELVI_71",9.93034553527832,18.4756717681885,28.4060173034668,"KANU0015722","ELVI","KANU0015722","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Gray County, Kansas, United States","United States","Kansas","Gray County","Gray",NA,"Cimarron, 0.5 mi S",37.799176,-100.351514,1971,8,4,"seed",4,0,0,0,"9/26/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821","County",-100.439656,37.6840811,"administrative_area_level_2","approximate","gray county, ks, usa",38.002533,37.474608,-100.214637,-100.6651721,"KANU","ELVI",71,NA,0,120,0,6167,169,24,0,62,301,0,0,37,26508,16703,164280,6,752,"3","E. virginicus",1970,6167,169,24,0,16703,164280,180983,215129,6360,12.9159713474241,2.95636571545445,84.1276629371215,NA,NA,"post-1970","E-"
"7","OKL_ELVI_106",11.4245557785034,25.5920696258545,37.0166244506836,"OKL49525;;LawrenceKMagrath7125","ELVI","OKL49525","Lawrence K. Magrath","Magrath","Lawrence","Lawrence Magrath","L Magrath","Maxwell, Lincoln County, Nebraska, USA","USA","Nebraska","Lincoln County","Lincoln","Maxwell","sandy soil, rare",NA,NA,1971,8,21,"seed",3,0,0,0,"09/16/2022","MalloryTucker",1,NA,NA,NA,NA,"Scorer20","Collector554","County",-100.5252843,41.0785928,"locality","approximate","maxwell, ne 69151, usa",41.0828681,41.069986,-100.515588,-100.5340539,"OKL","ELVI",106,NA,0,3349,0,4035,2807,611,44,65,524,58,516,329,108701,13819,48000,12395,9825,"3","E. virginicus",1970,4035,2807,611,44,13819,48000,61819,205078,7497,66.2001774934415,3.65568222822536,30.1441402783331,NA,NA,"post-1970","E-"
"8","LL_ELVI_129",9.03536510467529,12.4655122756958,21.5008773803711,"00428893","ELVI","00428893","Laura L. Hansen","Hansen","Laura","Laura Hansen","L Hansen","Coke County, Texas, United States","United States","Texas","Coke County","Coke",NA,"At Rancho Escondido, in front pasture, along the north side of Main Road, 0.1 mile east of the main entrance gate.",31.8336,-100.59462,2009,6,26,"seed",6,0,0,0,"7/15/21","ArinzeAppio-Riley",1,NA,NA,NA,NA,"Scorer1","Collector536","County",-100.5296115,31.8277663,"administrative_area_level_2","approximate","coke county, tx, usa",32.086722,31.6925141,-100.235137,-100.8253701,"LL","ELVI",129,NA,0,4872,0,4431,1405,420,67,8,4786,7502,380,195042,1738,59,9854,119,3,"3","E. virginicus",2000,4431,1405,420,67,59,9854,9913,230686,6323,92.9618615780758,2.74095523785579,4.29718318406839,2.1288678116574,3.38425392091414,"post-1970","E-"
"9","LL_ELVI_129",9.03536510467529,12.4655122756958,21.5008773803711,"00428893","ELVI","00428893","Laura L. Hansen","Hansen","Laura","Laura Hansen","L Hansen","Coke County, Texas, United States","United States","Texas","Coke County","Coke",NA,"At Rancho Escondido, in front pasture, along the north side of Main Road, 0.1 mile east of the main entrance gate.",31.8336,-100.59462,2009,6,26,"seed",6,0,0,0,"7/15/21","ArinzeAppio-Riley",1,NA,NA,NA,NA,"Scorer1","Collector536","County",-100.5296115,31.8277663,"administrative_area_level_2","approximate","coke county, tx, usa",32.086722,31.6925141,-100.235137,-100.8253701,"LL","ELVI",129,NA,0,4872,0,4431,1405,420,67,8,4786,7502,380,195042,1738,59,9854,119,3,"3","E. virginicus",2000,4431,1405,420,67,59,9854,9913,230686,6323,92.9618615780758,2.74095523785579,4.29718318406839,2.1288678116574,3.38425392091414,"post-1970","E-"
"10","LL_ELVI_129",9.03536510467529,12.4655122756958,21.5008773803711,"00428893","ELVI","00428893","Laura L. Hansen","Hansen","Laura","Laura Hansen","L Hansen","Coke County, Texas, United States","United States","Texas","Coke County","Coke",NA,"At Rancho Escondido, in front pasture, along the north side of Main Road, 0.1 mile east of the main entrance gate.",31.8336,-100.59462,2009,6,26,"seed",2,0,0,0,"11/8/2021","AvaJohnson",2,NA,NA,NA,NA,"Scorer2","Collector536","County",-100.5296115,31.8277663,"administrative_area_level_2","approximate","coke county, tx, usa",32.086722,31.6925141,-100.235137,-100.8253701,"LL","ELVI",129,NA,0,4872,0,4431,1405,420,67,8,4786,7502,380,195042,1738,59,9854,119,3,"3","E. virginicus",2000,4431,1405,420,67,59,9854,9913,230686,6323,92.9618615780758,2.74095523785579,4.29718318406839,2.1288678116574,3.38425392091414,"post-1970","E-"
