"","lon","lat","Sample_id","Institution_specimen_id","Spp_code","new_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Country","State","County_fixed","County","Municipality","Locality","hand_georef_lat","hand_georef_lon","year","month","day","tissue_type","seed_scored","seed_eplus","Endo_status_liberal","Endo_status_conservative","Date_scored","scorer_id","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","infl_count","scorer_factor","collector_factor","county_label","type","loctype","address","north","south","east","west","Herb_code","spp_code","specimen_code","tissue_code","NO3_mean","NH4_mean","TIN_mean"
"1",-100.2953039,46.2061318,"KANU_ELVI_104","KANU00183726","ELVI","KANU00183726","Richard P Williams","Williams","Richard","Richard Williams","R Williams","Emmons County, North Dakota, United States","United States","North Dakota","Emmons County","Emmons",NA,"Westfield, 4.5 mi S, 0.5 mi W",45.96428,-100.21276,1971,7,22,"seed",5,0,1,0,"10/20/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector777"," County","administrative_area_level_2","approximate","emmons county, nd, usa",46.6349751,45.941373,-99.8783509,-100.6620149,"KANU","ELVI",104,NA,8.61156463623047,15.3395509719849,23.951114654541
"2",-100.3497895,35.9022267,"LL_AGHY_36","LL00312184","AGHY","00312184","John R. Crutchfield","Crutchfield","John","John Crutchfield","J Crutchfield","Hemphill County, Texas, United States","United States","Texas","Hemphill County","Hemphill",NA,"On bank of spring-fed creek feeding into Lake Marvin, Panhandle Nat'l Grassland 14 miles east of Canadian.",NA,NA,1967,7,20,"stem",NA,NA,0,0,NA,"JFWhite",1,NA,NA,NA,NA,"Scorer15","Collector410"," County","administrative_area_level_2","approximate","hemphill county, tx, usa",36.056491,35.619114,-100.000387,-100.5412799,"LL","AGHY",36,NA,10.6152362823486,17.7199954986572,28.3352298736572
"3",-100.3497895,37.2698449,"KANU_ELVI_154","KANU0015634","ELVI","KANU0015634","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Meade County, Kansas, United States","United States","Kansas","Meade County","Meade",NA,"Meade, E edge",37.28564,-100.3396,1971,9,11,"seed",5,0,0,0,"1/3/24","KarlSchrader",1,NA,NA,NA,NA,"Scorer17","Collector821"," County","administrative_area_level_2","approximate","meade county, ks, usa",37.4753911,37.000022,-100.089155,-100.652728,"KANU","ELVI",154,NA,10.5215196609497,18.7319774627686,29.2534980773926
"4",-100.3737447,44.3535933,"MO_ELVI_56","Dr.FVHaydenJuly1853-54;3532247","ELVI","r.FVHaydenJuly1853-54;3532247","F. V. Hayden","Hayden","F.","F. Hayden","F Hayden","Fort Pierre, Stanley County, South Dakota, USA","USA","South Dakota","Stanley County","Stanley","Fort Pierre","Hab. below Fort Pierre",NA,NA,1854,7,1,"seed",6,0,0,0,"5/31/2023","Chris Oxley",1,NA,NA,NA,NA,"Scorer5","Collector295"," County","locality","approximate","fort pierre, sd 57532, usa",44.389516,44.3447721,-100.3588411,-100.400762,"MO","ELVI",56,NA,8.51247596740723,15.2558603286743,23.7683372497559
"5",-100.439656,31.3839017,"AM_ELVI_176","TAES87791","ELVI","TAES87791","Simon E. Wolff","Wolff","Simon","Simon Wolff","S Wolff","Tom Green County, Texas, United States","United States","Texas","Tom Green County","Tom Green",NA,NA,NA,NA,1933,7,5,"seed",5,4,1,1,"02/28/2020","BellaGutierrez",1,NA,NA,NA,NA,"Scorer3","Collector832"," County","administrative_area_level_2","approximate","tom green county, tx, usa",31.7054179,31.086122,-100.1112341,-101.267947,"AM","ELVI",176,NA,9.20023059844971,12.5322313308716,21.7324619293213
"6",-100.439656,37.6840811,"KANU_ELVI_71","KANU0015722","ELVI","KANU0015722","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Gray County, Kansas, United States","United States","Kansas","Gray County","Gray",NA,"Cimarron, 0.5 mi S",37.799176,-100.351514,1971,8,4,"seed",4,0,0,0,"9/26/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821"," County","administrative_area_level_2","approximate","gray county, ks, usa",38.002533,37.474608,-100.214637,-100.6651721,"KANU","ELVI",71,NA,9.93034553527832,18.4756717681885,28.4060173034668
"7",-100.5252843,41.0785928,"OKL_ELVI_106","OKL49525;;LawrenceKMagrath7125","ELVI","OKL49525","Lawrence K. Magrath","Magrath","Lawrence","Lawrence Magrath","L Magrath","Maxwell, Lincoln County, Nebraska, USA","USA","Nebraska","Lincoln County","Lincoln","Maxwell","sandy soil, rare",NA,NA,1971,8,21,"seed",3,0,0,0,"09/16/2022","MalloryTucker",1,NA,NA,NA,NA,"Scorer20","Collector554"," County","locality","approximate","maxwell, ne 69151, usa",41.0828681,41.069986,-100.515588,-100.5340539,"OKL","ELVI",106,NA,11.4245557785034,25.5920696258545,37.0166244506836
"8",-100.5296115,31.8277663,"LL_ELVI_129","00428893","ELVI","00428893","Laura L. Hansen","Hansen","Laura","Laura Hansen","L Hansen","Coke County, Texas, United States","United States","Texas","Coke County","Coke",NA,"At Rancho Escondido, in front pasture, along the north side of Main Road, 0.1 mile east of the main entrance gate.",31.8336,-100.59462,2009,6,26,"seed",6,0,0,0,"7/15/21","ArinzeAppio-Riley",1,NA,NA,NA,NA,"Scorer1","Collector536"," County","administrative_area_level_2","approximate","coke county, tx, usa",32.086722,31.6925141,-100.235137,-100.8253701,"LL","ELVI",129,NA,9.03536510467529,12.4655122756958,21.5008773803711
"9",-100.5296115,31.8277663,"LL_ELVI_129","00428893","ELVI","00428893","Laura L. Hansen","Hansen","Laura","Laura Hansen","L Hansen","Coke County, Texas, United States","United States","Texas","Coke County","Coke",NA,"At Rancho Escondido, in front pasture, along the north side of Main Road, 0.1 mile east of the main entrance gate.",31.8336,-100.59462,2009,6,26,"seed",2,0,0,0,"11/8/2021","AvaJohnson",2,NA,NA,NA,NA,"Scorer2","Collector536"," County","administrative_area_level_2","approximate","coke county, tx, usa",32.086722,31.6925141,-100.235137,-100.8253701,"LL","ELVI",129,NA,9.03536510467529,12.4655122756958,21.5008773803711
"10",-100.5296115,36.7440186,"KANU_ELVI_109","KANU00183711","ELVI","KANU00183711","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Beaver County, Oklahoma, United States","United States","Oklahoma","Beaver County","Beaver",NA,"Slapout, 3 mi W",36.61582,-100.16253,1971,9,15,"seed",2,2,1,1,"10/20/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector821"," County","administrative_area_level_2","approximate","beaver county, ok, usa",37.0023119,36.4992869,-100.0025629,-100.954359,"KANU","ELVI",109,NA,9.76807975769043,17.6397876739502,27.4078674316406
"11",-100.5296115,38.9271279,"KANU_ELVI_47","KANU0015028","ELVI","KANU0015028","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Gove County, Kansas, United States","United States","Kansas","Gove County","Gove",NA,"Quinter, W edge",39.071906,-100.239064,1975,7,21,"seed",5,0,0,0,"8/25/2023","KarlSchrader",1,NA,NA,NA,NA,"Scorer17","Collector821"," County","administrative_area_level_2","approximate","gove county, ks, usa",39.133455,38.6973411,-100.14794,-100.8187949,"KANU","ELVI",47,NA,10.1673879623413,21.7281475067139,31.8955345153809
