"","Sample_id","Institution_specimen_id","Spp_code","new_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Country","State","County_fixed","County","Municipality","Locality","hand_georef_lat","hand_georef_lon","year","month","day","tissue_type","seed_scored","seed_eplus","Endo_status_liberal","Endo_status_conservative","Date_scored","scorer_id","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","infl_count","scorer_factor","collector_factor","county_label","lon","lat","type","loctype","address","north","south","east","west","Herb_code","spp_code_1","specimen_code","tissue_code","HISTO_11","HISTO_12","HISTO_21","HISTO_22","HISTO_23","HISTO_24","HISTO_31","HISTO_41","HISTO_42","HISTO_43","HISTO_52","HISTO_71","HISTO_81","HISTO_82","HISTO_90","HISTO_95","HISTO_NODATA","file_year"
"1","AM_AGHY_3","TAES187948","AGHY","TAES187948","W. R. Carr","Carr","W.","W. Carr","W Carr","Bastrop County, Texas, United States","United States","Texas","Bastrop County","Bastrop",NA,NA,NA,NA,1985,4,13,"seed",4,0,0,0,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector885","County",-97.3516558,30.0458708,"administrative_area_level_2","approximate","bastrop county, tx, usa",30.4196421,29.786541,-97.024461,-97.64937,"AM","AGHY",3,NA,2103,0,10430,6196,1139,197,14,18171,16847,21389,25622,1676,111104,7167,12735,138,0,1985
"2","BRIT_AGHY_488","NLU0384762","AGHY","NLU0384762","R. Dale Thomas and Susan Hooks","Hooks","R.","R. Hooks","R Hooks","Ashley County, Arkansas, United States","United States","Arkansas","Ashley County","Ashley",NA,"Roadbank of U.S. 82, 4.6 miles east of Crossett, Sec. 24, T18S, R7W.",NA,NA,1985,5,9,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,61.597,NA,NA,NA,"Scorer19","Collector713","County",-91.7538817,33.1565939,"administrative_area_level_2","approximate","ashley county, ar, usa",33.398325,33.005915,-91.457334,-92.1436601,"BRIT","AGHY",488,NA,155,0,9240,2616,197,28,3,193,163085,1293,4772,107,1148,699,43781,41,0,1985
"3","BRIT_AGHY_503","NLU0384744","AGHY","NLU0384744","R. Dale Thomas and Susan Hooks","Hooks","R.","R. Hooks","R Hooks","Ashley County, Arkansas, United States","United States","Arkansas","Ashley County","Ashley",NA,"Electrical transmission line right-of-way on both sides of Ark. 133, three miles south of U.S. 82 and Crossett, Sec. 32, T18S, R8W",NA,NA,1985,5,9,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,146.307,NA,NA,NA,"Scorer19","Collector713","County",-91.7538817,33.1565939,"administrative_area_level_2","approximate","ashley county, ar, usa",33.398325,33.005915,-91.457334,-92.1436601,"BRIT","AGHY",503,NA,155,0,9240,2616,197,28,3,193,163085,1293,4772,107,1148,699,43781,41,0,1985
"4","BRIT_AGHY_513","NLU0384730","AGHY","NLU0384730","R. Dale Thomas","Thomas","R.","R. Thomas","R Thomas","Bradley County, Arkansas, United States","United States","Arkansas","Bradley County","Bradley",NA,"Warren Prairie about .6 miles east of Ark. 8, 2.3 miles south of Ark. 4 east of Warren, Sec. 13, T13S, R9W",NA,NA,1985,5,10,"seed",5,4,1,1,"12/12/2019","LaniDufresne",1,106.023,NA,NA,NA,"Scorer19","Collector766","County",-92.2236667,33.5081368,"administrative_area_level_2","approximate","bradley county, ar, usa",33.707745,33.1611441,-91.959701,-92.38246,"BRIT","AGHY",513,NA,143,0,8451,2105,134,9,38,909,121923,75,8581,180,13352,1345,69203,10,0,1985
"5","BRIT_AGHY_543","NLU0384984","AGHY","NLU0384984","Ralph E. Brooks","Brooks","Ralph","Ralph Brooks","R Brooks","Dade County, Missouri, United States","United States","Missouri","Dade County","Dade",NA,"Bona, 1 mi W.",37.54476,-93.68988,1985,5,3,"seed",5,0,0,0,"12/12/2019","LaniDufresne",1,49.931,NA,NA,NA,"Scorer19","Collector689","County",-93.9878427,37.4863609,"administrative_area_level_2","approximate","dade county, mo, usa",37.5815701,37.2819689,-93.6160329,-94.083833,"BRIT","AGHY",543,NA,406,0,7880,599,21,0,0,31346,2,328,0,33,128953,46118,2,10,0,1985
"6","BRIT_AGHY_8","RDdaleThomas&SusanHooks;91995&260","AGHY","RDdaleThomas&SusanHooks;91995&260","R. Dale Thomas","Thomas","R.","R. Thomas","R Thomas","Crossett, Ashley County, Arkansas, USA","USA","Arkansas","Ashley County","Ashley","Crossett","Roadbank of U.S. 82, 4.6 miles east of Crossett",NA,NA,1985,5,9,"seed",4,4,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector766","County",-91.9611917,33.1240976,"locality","approximate","crossett, ar 71635, usa",33.151611,33.079062,-91.9241539,-91.985777,"BRIT","AGHY",8,NA,2059,0,19633,11112,2759,1236,738,241,137843,1778,9902,387,8594,332,30757,65,0,1985
"7","BRIT_AGPE_36","BRIT174450","AGPE","BRIT174450",NA,NA,NA,"NA NA",NA,"Franklin County, Tennessee, USA","USA","Tennessee","Franklin County","Franklin",NA,NA,NA,NA,1985,NA,NA,"seed",3,0,0,0,"10/29/2020","LaniDufresne",1,NA,NA,NA,NA,"Scorer19",NA,"County",-86.0529604,35.1946865,"administrative_area_level_2","approximate","franklin county, tn, usa",35.362607,34.9882529,-85.863245,-86.3333651,"BRIT","AGPE",36,NA,1675,0,18731,10743,2113,527,563,39247,448,5376,6,94,63439,73696,4929,465,0,1985
"8","BRIT_ELVI_426","NLU0399128","ELVI","NLU0399128","M.A. Vincent","Vincent","M.A.","M.A. Vincent","M Vincent","DARKE County, Ohio, United States","United States","Ohio","DARKE County","DARKE",NA,"Brown Twp, Sect 9 Drew Woods State Nature Preserve. Zumbrum Road T13N, R2E",NA,NA,1985,9,14,"seed",2,1,1,0,"10/20/2020","EllaSegal",1,NA,NA,NA,NA,"Scorer10","Collector619","County",-84.6897495,40.1056572,"administrative_area_level_2","approximate","darke county, oh, usa",40.354259,39.916481,-84.4259019,-84.8124401,"BRIT","ELVI",426,NA,173,0,7043,13975,4451,1242,97,17737,0,68,1,52,7631,153876,1036,701,0,1985
"9","KANU_AGPE_17","KANU0010899","AGPE","KANU0010899","R. L. McGregor","R. L. McGregor","R. L. McGregor","R. L. McGregor R. L. McGregor","R R. L. McGregor","Baldwin City, Douglas County, Kansas, USA","USA","Kansas","Douglas County","Douglas","Baldwin City","Baldwin City, 1.5 mi N, 1 mi E",38.79667,-95.16752,1985,9,20,"seed",4,0,0,0,"4/21/23","DavidWoods",1,NA,NA,NA,NA,"Scorer8","Collector744","County",-95.1863603,38.775007,"locality","approximate","baldwin city, ks 66006, usa",38.8013501,38.752984,-95.158112,-95.214347,"KANU","AGPE",17,NA,1794,0,7015,6894,473,51,22,38951,695,2144,4,69,102151,51539,95,76,0,1985
"10","KANU_ELVI_56","KANU0015527","ELVI","KANU0015527","Ralph E Brooks","Brooks","Ralph","Ralph Brooks","R Brooks","Barton County, Kansas, United States","United States","Kansas","Barton County","Barton",NA,"Cheyenne Bottoms",38.465814,-98.707943,1985,7,17,"seed",5,5,1,1,"9/6/2023","KarlSchrader",1,NA,NA,NA,NA,"Scorer17","Collector689","County",-98.6600586,38.5000699,"administrative_area_level_2","approximate","barton county, ks, usa",38.6969161,38.26079,-98.479507,-99.03343,"KANU","ELVI",56,NA,13314,0,3697,3185,92,0,7211,732,0,0,138,42119,126,82688,268,59210,0,1985
"11","LL_AGPE_45","RLSchaefferJr.19853","AGPE","RLSchaefferJr.19853","R. L. Schaeffer","Schaeffer","R.","R. Schaeffer","R Schaeffer","Hellertown, Northampton County, Pennsylvania, USA","USA","Pennsylvania","Northampton County","Northampton","Hellertown","1 mile east of Hellertown",NA,NA,1985,1,1,NA,NA,NA,1,1,NA,"JFWhite",1,NA,NA,NA,NA,"Scorer15","Collector757","County",-75.3407346,40.5795437,"locality","approximate","hellertown, pa, usa",40.5963901,40.566981,-75.3272609,-75.348228,"LL","AGPE",45,NA,1092,0,33615,23200,16504,5088,2063,66272,263,4797,626,15,29640,21032,2322,66,0,1985
"12","LL_AGPE_45","RLSchaefferJr.19853","AGPE","RLSchaefferJr.19853","R. L. Schaeffer","Schaeffer","R.","R. Schaeffer","R Schaeffer","Hellertown, Northampton County, Pennsylvania, USA","USA","Pennsylvania","Northampton County","Northampton","Hellertown","1 mile east of Hellertown",NA,NA,1985,1,1,"stem",NA,NA,1,1,NA,"JFWhite",1,NA,NA,NA,NA,"Scorer15","Collector757","County",-75.3407346,40.5795437,"locality","approximate","hellertown, pa, usa",40.5963901,40.566981,-75.3272609,-75.348228,"LL","AGPE",45,NA,1092,0,33615,23200,16504,5088,2063,66272,263,4797,626,15,29640,21032,2322,66,0,1985
"13","MO_AGHY_177","TPriesendorf20",NA,"Priesendorf20","Thomas A. Priesendorf","Priesendorf","Thomas","Thomas Priesendorf","T Priesendorf","Locust Creek Floodplain, Linn County, Missouri, USA","USA","Missouri","Linn County","Linn","Locust Creek Floodplain","NE SW SECT14 T57N R21W",NA,NA,1985,6,6,"seed",5,2,1,1,"5/25/2023","Chris Oxley",1,NA,NA,NA,NA,"Scorer5","Collector850","County",-93.1981562989905,40.0300077350961,"establishment","approximate","locust creek, missouri, usa",40.3939197,39.6660958,-93.097702,-93.2986106,"MO","AGHY",177,NA,334,0,5963,1757,121,19,0,36862,116,421,18,121,107542,48289,6498,213,0,1985
"14","MO_AGHY_99","RDThomas&SHooks","AGHY","DThomas&SHooks","R. D. Thomas","Thomas","R.","R. Thomas","R Thomas","Ashley County, Arkansas, USA","USA","Arkansas","Ashley County","Ashley",NA,"Roadbank of US 82",NA,NA,1985,5,9,"seed",2,1,1,1,"4/25/2023","ChrisOxley",1,NA,NA,NA,NA,"Scorer6","Collector766","County",-91.7538817,33.1565939,"administrative_area_level_2","approximate","ashley county, ar, usa",33.398325,33.005915,-91.457334,-92.1436601,"MO","AGHY",99,NA,155,0,9240,2616,197,28,3,193,163085,1293,4772,107,1148,699,43781,41,0,1985
"15","MO_ELVI_134","AEBrant,MSTaylor,FGuanchez748","ELVI","EBrant,MSTaylor,FGuanchez748","A.E. Brant, M.S. Taylor","Taylor","A.E.","A.E. Taylor","A Taylor","Perry County, Missouri, USA","USA","Missouri","Perry County","Perry",NA,"T35N, R9E, S 1/4 Sur. 2169; 1.8 ml S then 1.7 ml SE on gravel roads from State Rt. NN to an open, cherty, scrub-hardwood adjacent to Goose Creek; on the N side of road. Open to open canopy with Solidago rugosa, Juniperus virginiana. (County record).",NA,NA,1985,8,6,"seed",2,0,0,0,"1/4/24","KarlSchrader",1,NA,NA,NA,NA,"Scorer17","Collector56","County",-89.7755338,37.723555,"administrative_area_level_2","approximate","perry county, mo, usa",37.9055721,37.563953,-89.475932,-90.1473059,"MO","ELVI",134,NA,708,0,10264,3212,348,16,39,71010,367,4338,3,8,79283,44239,986,203,0,1985
