"","components","dic","waic","cpo","auc","convergence","year"
"1","~0 + Spp_code * mean_TIN_10km * PercentAg * PercentUrban",2650.2186,2652.7453,0.6027,0.7537,0,FALSE
"2","~0 + Spp_code * year * mean_TIN_10km * PercentAg * PercentUrban",2656.8454,2662.9736,0.6052,0.7632,0,TRUE
"3","~0 + Spp_code * PercentAg * mean_TIN_10km",2657.5213,2658.0408,0.6039,0.7706,0,FALSE
"4","~0 + Spp_code * PercentUrban * mean_TIN_10km",2660.502,2661.3009,0.6046,0.7496,0,FALSE
"5","~0 + Spp_code * mean_TIN_10km + Spp_code * PercentAg + Spp_code * PercentUrban",2663.4114,2664.1829,0.6052,0.7475,0,FALSE
"6","~0 + Spp_code * ppt_10km * mean_TIN_10km",2664.4787,2665.9607,0.6057,0.7642,0,FALSE
"7","~0 + Spp_code * mean_TIN_10km + Spp_code * PercentAg + Spp_code * PercentUrban + Spp_code * tmean_10km + Spp_code * ppt_10km",2665.2656,2666.5266,0.6059,0.7354,0,FALSE
"8","~0 + Spp_code * mean_TIN_10km",2667.9789,2668.1319,0.6062,0.7679,0,FALSE
"9","~0 + Spp_code * tmean_10km * mean_TIN_10km",2668.6376,2670.0098,0.6067,0.7693,0,FALSE
"10","~0 + Spp_code * year * mean_TIN_10km + Spp_code * year * PercentAg + Spp_code * year * PercentUrban",2670.7462,2672.9339,0.6073,0.7492,0,TRUE
"11","~0 + Spp_code + year + mean_TIN_10km + PercentAg + PercentUrban",2672.2024,2672.6089,0.6072,0.7431,0,TRUE
"12","~0 + Spp_code * year * mean_TIN_10km + Spp_code * year * PercentAg + Spp_code * year * PercentUrban + Spp_code * year * tmean_10km + Spp_code * year * ppt_10km",2672.7106,2676.6534,0.6081,0.751,0,TRUE
"13","~0 + Spp_code + year + mean_TIN_10km + PercentAg + PercentUrban + tmean_10km + ppt_10km",2673.135,2673.7568,0.6074,0.7409,0,TRUE
"14","~0 + Spp_code + mean_TIN_10km + PercentAg + PercentUrban",2677.7716,2678.0428,0.6084,0.7458,0,FALSE
"15","~0 + Spp_code + mean_TIN_10km + PercentAg + PercentUrban + tmean_10km + ppt_10km",2678.6598,2679.2471,0.6087,0.7354,0,FALSE
"16","~0 + Spp_code * PercentUrban",2690.5131,2691.5093,0.6115,0.7391,0,FALSE
"17","~0 + Spp_code",2695.6451,2696.2762,0.6125,0.7356,0,FALSE
"18","~0 + Spp_code * PercentAg",2695.797,2696.5448,0.6126,0.7348,0,FALSE
"19","~0 + Spp_code * ppt_10km",2698.4997,2699.012,0.6132,0.7335,0,FALSE
"20","~0 + Spp_code * tmean_10km",2698.5702,2699.561,0.6133,0.7341,0,FALSE
