buffer,lon,lat,mean_TIN,mean_NO3,mean_NH4
10km,-109.9913694,42.9547905,110.31174989180131,50.04702099886808,60.26472975990989
10km,-106.7234639,35.6020667,119.27666508067738,58.24777802554044,61.0288859280673
10km,-106.2117882,41.1785008,180.5775507146662,86.01686824451794,94.56067848205566
10km,-106.2051484,31.8039824,111.72501824118875,50.454592357982285,61.27042579650879
10km,-106.0434449,31.9163705,126.82552875172009,57.19659970023415,69.6289286179976
10km,-105.8184564,40.2519897,203.52826621315697,98.86664061112837,104.66162698919123
10km,-105.7820674,39.5500507,288.7914407903498,135.74895477294922,153.04248567060992
10km,-105.5005483,40.1512114,251.90509241277522,116.56563464078036,135.33946019952947
10km,-105.4780381,32.8895419,186.94700102372602,84.36960289695047,102.5773970864036
10km,-104.4723301,38.9108325,205.90675354003906,89.93412590026855,115.97262625260787
10km,-104.1930918,30.750805,190.4747005809437,83.57438520951705,106.90031623840332
10km,-104.1674118,30.6332044,205.0475959777832,90.05122531544079,114.99637014215642
10km,-103.5988057,43.7666507,306.32923542369497,115.69418265602805,190.63505484841087
10km,-103.3587288,29.6629938,132.84505532004616,56.150404106486924,76.69465264407071
10km,-102.989615,41.6552418,262.3103498979048,101.16989395835184,161.140456459739
10km,-102.6216211,35.4247226,251.60170953924006,96.6583704514937,154.9433357932351
10km,-102.5298028,35.0017354,276.57542419433594,107.36262269453569,169.21279248324308
10km,-102.2547919,42.3613076,303.0200438065962,112.65813688798384,190.3619051846591
10km,-101.7979613,37.1333387,306.52099678733134,100.81057929992676,205.71041453968394
10km,-101.7979613,38.4738028,312.2847914262251,107.72056891701438,204.56422008167613
10km,-101.6157773,40.1306121,309.69967165860265,110.83985536748713,198.85981577092952
10km,-101.5248055,41.1815863,347.3536404696378,119.30137408863415,228.05226169932973
10km,-101.4339148,36.3183749,348.1650980169123,107.63482596657492,240.53027205033735
10km,-101.4339148,36.8301318,337.7487862326882,103.48984666304155,234.2589444247159
10km,-101.4062723,36.2650314,348.26344923539597,109.43941601839933,238.82402662797406
10km,-101.1617356,29.8687682,199.0452371077104,87.01794416254216,112.0272932919589
10km,-101.0711758,40.1844599,354.0437448674982,121.54730380665173,232.49644366177645
10km,-100.8903099,35.8540979,340.30721629749644,121.50989879261364,218.79731195623225
10km,-100.8903099,37.221014,330.76764609596944,113.28859745372425,217.4790469082919
10km,-100.8903099,38.0625252,338.96301685680044,112.08465957641602,226.87834999778053
10km,-100.8534779,43.2327824,352.1201837713068,126.88845790516247,225.2317289872603
10km,-100.8000051,40.9338037,435.00717371160334,133.5146054354581,301.49257590553975
10km,-100.5296115,31.8277663,257.8139537464489,108.27741778980602,149.53653439608487
