buffer,lon,lat,year,TIN,NO3,NH4
10km,-100.2953039,46.2061318,1999,358.94610595703125,157.30429077148438,201.6417999267578
10km,-100.2953039,46.2061318,2000,290.14404296875,123.7423095703125,166.4017333984375
10km,-100.2953039,46.2061318,2001,332.4020690917969,143.5471954345703,188.8548583984375
10km,-100.2953039,46.2061318,2002,212.57493591308594,87.53193664550781,125.0429916381836
10km,-100.2953039,46.2061318,2003,227.85986328125,88.32047271728516,139.53939819335938
10km,-100.2953039,46.2061318,2004,290.0751953125,113.02947998046875,177.0457305908203
10km,-100.2953039,46.2061318,2005,297.0069274902344,115.83124542236328,181.17567443847656
10km,-100.2953039,46.2061318,2006,205.3743438720703,79.7650146484375,125.60933685302734
10km,-100.2953039,46.2061318,2007,372.0221252441406,130.766357421875,241.25575256347656
10km,-100.2953039,46.2061318,2008,292.2350158691406,105.32795715332031,186.9070587158203
10km,-100.2953039,46.2061318,2009,267.11468505859375,96.97620391845703,170.13845825195312
10km,-100.2953039,46.2061318,2010,261.87115478515625,91.18640899658203,170.68475341796875
10km,-100.2953039,46.2061318,2011,317.1507263183594,116.06214904785156,201.08856201171875
10km,-100.2953039,46.2061318,2012,264.800048828125,92.66302490234375,172.13702392578125
10km,-100.2953039,46.2061318,2013,399.8887939453125,122.40470886230469,277.48406982421875
10km,-100.2953039,46.2061318,2014,235.55491638183594,76.36121368408203,159.19371032714844
10km,-100.2953039,46.2061318,2015,260.8790588378906,82.17053985595703,178.70852661132812
10km,-100.2953039,46.2061318,2016,335.6234436035156,105.30570220947266,230.3177490234375
10km,-100.2953039,46.2061318,2017,211.11068725585938,64.7336196899414,146.3770751953125
10km,-100.2953039,46.2061318,2018,342.9735412597656,100.80227661132812,242.1712646484375
10km,-100.2953039,46.2061318,2019,389.06396484375,129.14462280273438,259.9193420410156
10km,-100.2953039,46.2061318,2020,158.3243865966797,47.5247688293457,110.79962158203125
10km,-100.3497895,35.9022267,1999,369.123291015625,169.27359008789062,199.84970092773438
10km,-100.3497895,35.9022267,2000,436.8498229980469,195.48126220703125,241.36856079101562
10km,-100.3497895,35.9022267,2001,426.09295654296875,181.64401245117188,244.44894409179688
10km,-100.3497895,35.9022267,2002,416.3367004394531,176.9940948486328,239.3426055908203
10km,-100.3497895,35.9022267,2003,322.54559326171875,129.1616668701172,193.38392639160156
10km,-100.3497895,35.9022267,2004,370.306884765625,148.65118408203125,221.65570068359375
10km,-100.3497895,35.9022267,2005,371.93499755859375,147.8764190673828,224.05856323242188
10km,-100.3497895,35.9022267,2006,289.7327575683594,114.89885711669922,174.8338623046875
10km,-100.3497895,35.9022267,2007,341.31842041015625,122.72059631347656,218.5978240966797
10km,-100.3497895,35.9022267,2008,339.5583190917969,132.55296325683594,207.00537109375
10km,-100.3497895,35.9022267,2009,291.1033020019531,105.38316345214844,185.7201690673828
10km,-100.3497895,35.9022267,2010,366.1206359863281,128.53231811523438,237.58828735351562
10km,-100.3497895,35.9022267,2011,183.1438751220703,65.96489715576172,117.17897033691406
10km,-100.3497895,35.9022267,2012,282.9720458984375,93.98455047607422,188.98748779296875
10km,-100.3497895,35.9022267,2013,311.8290100097656,109.19239044189453,202.6365966796875
10km,-100.3497895,35.9022267,2014,288.69366455078125,98.85304260253906,189.84063720703125
10km,-100.3497895,35.9022267,2015,460.80377197265625,144.19223022460938,316.611572265625
10km,-100.3497895,35.9022267,2016,309.8874816894531,104.37308502197266,205.51438903808594
10km,-100.3497895,35.9022267,2017,342.6626281738281,108.87633514404297,233.7863006591797
10km,-100.3497895,35.9022267,2018,347.95452880859375,121.37736511230469,226.57713317871094
10km,-100.3497895,35.9022267,2019,381.77325439453125,133.6249542236328,248.14833068847656
10km,-100.3497895,35.9022267,2020,264.1974182128906,81.04022216796875,183.15719604492188
