"","lon","lat","Sample_id","Spp_code","new_id","Country","State","County","Locality","year","month","day","seed_eplus","scorer_id","infl_count","X","Institution_specimen_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Municipality","hand_georef_lat","hand_georef_lon","tissue_type","seed_scored","Endo_status_liberal","Endo_status_conservative","Date_scored","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","scorer_factor","collector_factor","NO3_mean","Institutio","primary_co","collector_","collecto_1","location_s","Municipali","hand_geore","hand_geo_1","tissue_typ","seed_score","Endo_statu","Endo_sta_1","Date_score","score_numb","surface_ar","mean_infl_","mean_inflp","HISTO_0","HISTO_11","HISTO_12","HISTO_21","HISTO_22","HISTO_23","HISTO_24","HISTO_31","HISTO_41","HISTO_42","HISTO_43","HISTO_52","HISTO_71","HISTO_81","HISTO_82","HISTO_90","HISTO_95","species_index","species","decade","DevelopedOpenSpace","DevelopedLowIntensity","MediumDeveloped","HighDeveloped","PastureHay","CultivatedCrops","TotalAg","TotalPixels","TotalDeveloped","OtherLC","PercentUrban","PercentAg","year_bin","endo_status_text"
"1",-100.2171969,36.5726391,"BRIT_AGPE_147","AGPE","NLU0385098","USA","Oklahoma","Logan",NA,1970,NA,NA,5,"LaniDufresne",NA,3,"NLU0385098",NA,NA,NA,"NA NA",NA,"Logan, Oklahoma, USA",NA,NA,NA,"seed",5,1,1,"10/29/2020",1,NA,NA,NA,"Scorer19",NA,10.287633895874,"NLU0385098",NA,NA,NA,"Logan, Oklahoma, USA",NA,NA,NA,"seed",5,1,1,"10/29/2020",1,NA,NA,NA,0,570,0,24855,4701,1474,167,1590,239,0,0,59818,677263,1076,99266,1059,974,"2","A. perennans",1970,24855,4701,1474,167,1076,99266,100342,873052,31197,84.9334289366498,3.57332667469979,11.4932443886504,"post-1970","E+"
"2",-100.2171969,36.5726391,"KANU_ELVI_1","ELVI","KANU00183686","United States","Oklahoma","Logan","Orlando, 3 mi S, 9.5 mi W",1971,9,16,0,"MalloryTucker",NA,2,"KANU00183686","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Logan, Oklahoma, United States",NA,36.10526,-97.54832,"seed",4,0,0,"09/26/2022",1,NA,NA,NA,"Scorer20","Collector821",10.287633895874,"KANU00183686","Steve Stephens","Stephens","Steve","Logan, Oklahoma, United States",NA,36.10526,-97.54832,"seed",4,0,0,"09/26/2022",1,NA,NA,NA,0,570,0,24855,4701,1474,167,1590,239,0,0,59818,677263,1076,99266,1059,974,"3","E. virginicus",1970,24855,4701,1474,167,1076,99266,100342,873052,31197,84.9334289366498,3.57332667469979,11.4932443886504,"post-1970","E-"
"3",-100.2171969,36.5726391,"LSU_ELVI_68","ELVI","NO0033659","United States","Oklahoma","Logan","Guthrie [E of]",1938,6,19,0,"AvaJohnson",NA,1,"NO0033659","Edith Beck","Beck","Edith","Edith Beck","E Beck","Logan, Oklahoma, United States",NA,NA,NA,"seed",5,0,0,"11/19/21",1,NA,NA,NA,"Scorer2","Collector240",10.287633895874,"NO0033659","Edith Beck","Beck","Edith","Logan, Oklahoma, United States",NA,NA,NA,"seed",5,0,0,"11/19/21",1,NA,NA,NA,0,570,0,24855,4701,1474,167,1590,239,0,0,59818,677263,1076,99266,1059,974,"3","E. virginicus",1930,24855,4701,1474,167,1076,99266,100342,873052,31197,84.9334289366498,3.57332667469979,11.4932443886504,"pre-1970","E-"
"4",-100.2953039,46.2061318,"KANU_ELVI_104","ELVI","KANU00183726","United States","North Dakota","Emmons","Westfield, 4.5 mi S, 0.5 mi W",1971,7,22,0,"FaithHill",NA,4,"KANU00183726","Richard P Williams","Williams","Richard","Richard Williams","R Williams","Emmons, North Dakota, United States",NA,45.96428,-100.21276,"seed",5,1,0,"10/20/2023",1,NA,NA,NA,"Scorer13","Collector777",8.61156463623047,"KANU00183726","Richard P Williams","Williams","Richard","Emmons, North Dakota, United States",NA,45.96428,-100.21276,"seed",5,1,0,"10/20/2023",1,NA,NA,NA,0,14149,0,18448,6040,1549,407,151,809,0,2,59,427988,41838,225462,1771,15356,"3","E. virginicus",1970,18448,6040,1549,407,41838,225462,267300,754029,26444,61.0434081447796,3.50702691806283,35.4495649371576,"post-1970","E+"
"5",-100.439656,31.3839017,"AM_ELVI_176","ELVI","TAES87791","United States","Texas","Tom Green",NA,1933,7,5,4,"BellaGutierrez",NA,7,"TAES87791","Simon E. Wolff","Wolff","Simon","Simon Wolff","S Wolff","Tom Green, Texas, United States",NA,NA,NA,"seed",5,1,1,"02/28/2020",1,NA,NA,NA,"Scorer3","Collector832",9.20023059844971,"TAES87791","Simon E. Wolff","Wolff","Simon","Tom Green, Texas, United States",NA,NA,NA,"seed",5,1,1,"02/28/2020",1,NA,NA,NA,0,16910,0,65405,42880,33358,15821,1761,3762,2746,102,457218,4015,749,273695,8090,500,"3","E. virginicus",1930,65405,42880,33358,15821,749,273695,274444,927012,157464,53.4085858651236,16.986187881063,29.6052262538133,"pre-1970","E+"
"6",-100.439656,37.6840811,"KANU_ELVI_71","ELVI","KANU0015722","United States","Kansas","Gray","Cimarron, 0.5 mi S",1971,8,4,0,"FaithHill",NA,8,"KANU0015722","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Gray, Kansas, United States",NA,37.799176,-100.351514,"seed",4,0,0,"9/26/2023",1,NA,NA,NA,"Scorer13","Collector821",9.93034553527832,"KANU0015722","Steve Stephens","Stephens","Steve","Gray, Kansas, United States",NA,37.799176,-100.351514,"seed",4,0,0,"9/26/2023",1,NA,NA,NA,0,1178,0,27533,3316,913,270,266,779,0,3,174,143240,54640,624607,7,3615,"3","E. virginicus",1970,27533,3316,913,270,54640,624607,679247,860541,32032,17.3451352114542,3.72230957037492,78.9325552181709,"post-1970","E-"
"7",-100.4877663,38.9590176,"KANU_ELVI_47","ELVI","KANU0015028","United States","Kansas","Gove","Quinter, W edge",1975,7,21,0,"KarlSchrader",NA,9,"KANU0015028","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Gove, Kansas, United States",NA,39.071906,-100.239064,"seed",5,0,0,"8/25/2023",1,NA,NA,NA,"Scorer17","Collector821",10.2412576675415,"KANU0015028","Steve Stephens","Stephens","Steve","Gove, Kansas, United States",NA,39.071906,-100.239064,"seed",5,0,0,"8/25/2023",1,NA,NA,NA,0,380,0,22780,2747,561,80,425,943,3,65,10,328291,11791,477248,339,118,"3","E. virginicus",1970,22780,2747,561,80,11791,477248,489039,845781,26168,39.0850586617576,3.09394512291007,57.8209962153323,"post-1970","E-"
"8",-100.5198713,36.8161371,"KANU_ELVI_109","ELVI","KANU00183711","United States","Oklahoma","Beaver","Slapout, 3 mi W",1971,9,15,2,"FaithHill",NA,11,"KANU00183711","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Beaver, Oklahoma, United States",NA,36.61582,-100.16253,"seed",2,1,1,"10/20/2023",1,NA,NA,NA,"Scorer13","Collector821",9.6394567489624,"KANU00183711","Steve Stephens","Stephens","Steve","Beaver, Oklahoma, United States",NA,36.61582,-100.16253,"seed",2,1,1,"10/20/2023",1,NA,NA,NA,0,285,0,30008,2320,599,176,1021,1051,4,0,249108,497461,240,79389,3246,5424,"3","E. virginicus",1970,30008,2320,599,176,240,79389,79629,870332,33103,87.0472417422317,3.80349108156428,9.14926717620402,"post-1970","E+"
"9",-100.5296115,31.8277663,"LL_ELVI_129","ELVI","00428893","United States","Texas","Coke","At Rancho Escondido, in front pasture, along the north side of Main Road, 0.1 mile east of the main entrance gate.",2009,6,26,0,"ArinzeAppio-Riley",NA,12,"00428893","Laura L. Hansen","Hansen","Laura","Laura Hansen","L Hansen","Coke, Texas, United States",NA,31.8336,-100.59462,"seed",6,0,0,"7/15/21",1,NA,NA,NA,"Scorer1","Collector536",9.03536510467529,"00428893","Laura L. Hansen","Hansen","Laura","Coke, Texas, United States",NA,31.8336,-100.59462,"seed",6,0,0,"7/15/21",1,NA,NA,NA,0,16333,0,12072,4466,1146,134,80,13987,20963,1285,811540,7713,228,32502,208,32,"3","E. virginicus",2000,12072,4466,1146,134,228,32502,32730,922689,17818,94.5216643961291,1.93109487595495,3.54724072791591,"post-1970","E-"
"10",-100.5296115,31.8277663,"LL_ELVI_129","ELVI","00428893","United States","Texas","Coke","At Rancho Escondido, in front pasture, along the north side of Main Road, 0.1 mile east of the main entrance gate.",2009,6,26,0,"AvaJohnson",NA,13,"00428893","Laura L. Hansen","Hansen","Laura","Laura Hansen","L Hansen","Coke, Texas, United States",NA,31.8336,-100.59462,"seed",2,0,0,"11/8/2021",2,NA,NA,NA,"Scorer2","Collector536",9.03536510467529,"00428893","Laura L. Hansen","Hansen","Laura","Coke, Texas, United States",NA,31.8336,-100.59462,"seed",2,0,0,"11/8/2021",2,NA,NA,NA,0,16333,0,12072,4466,1146,134,80,13987,20963,1285,811540,7713,228,32502,208,32,"3","E. virginicus",2000,12072,4466,1146,134,228,32502,32730,922689,17818,94.5216643961291,1.93109487595495,3.54724072791591,"post-1970","E-"
"11",-100.8534779,43.2327824,"LL_AGHY_185","AGHY","WLTolstead4-377","USA","South Dakota","Todd","7 miles west of Rosebud. In ravine with Agropyron smithii and Elymus canadensis",1935,7,24,NA,"JFWhite",NA,16,"WLTolstead4-377","W. L. Tolstead","Tolstead","W.","W. Tolstead","W Tolstead","Rosebud, Todd, South Dakota, USA","Rosebud",NA,NA,"stem",NA,1,1,NA,1,NA,NA,NA,"Scorer15","Collector918",10.5476493835449,"WLTolstead4-377","W. L. Tolstead","Tolstead","W.","Rosebud, Todd, South Dakota, USA","Rosebud",NA,NA,"stem",NA,1,1,NA,1,NA,NA,NA,0,860,0,6355,7103,1154,76,364,25223,289,64101,2095,623749,6144,37867,10394,7486,"1","A. hyemalis",1930,6355,7103,1154,76,6144,37867,44011,793260,14688,92.6002823790434,1.85159972770592,5.54811789325064,"pre-1970","E+"
"12",-100.8903099,35.8540979,"KANU_ELVI_111","ELVI","KANU00183700","United States","Texas","Roberts","In Miami",1974,8,1,0,"FaithHill",NA,17,"KANU00183700","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Roberts, Texas, United States",NA,35.69139,-100.63778,"seed",4,0,0,"10/20/2023",1,NA,NA,NA,"Scorer13","Collector821",10.1302671432495,"KANU00183700","Steve Stephens","Stephens","Steve","Roberts, Texas, United States",NA,35.69139,-100.63778,"seed",4,0,0,"10/20/2023",1,NA,NA,NA,0,416,0,3728,1727,194,5,203,48,0,0,625344,221683,512,6408,12962,7740,"3","E. virginicus",1970,3728,1727,194,5,512,6408,6920,880970,5654,98.5727096268885,0.641792569554014,0.785497803557442,"post-1970","E-"
"13",-100.8903099,38.0625252,"KANU_ELVI_13","ELVI","KANU0015763","United States","Kansas","Finney","unknown",1912,7,18,4,"MalloryTucker",NA,18,"KANU0015763","Wilson","Wilson","Wilson","Wilson Wilson","W Wilson","Finney, Kansas, United States",NA,38.055118,-100.709526,"seed",5,1,1,"09/28/2022",1,NA,NA,NA,"Scorer20","Collector924",9.3122091293335,"KANU0015763","Wilson","Wilson","Wilson","Finney, Kansas, United States",NA,38.055118,-100.709526,"seed",5,1,1,"09/28/2022",1,NA,NA,NA,0,2909,0,34702,19399,8939,3069,1811,569,0,19,44,114591,24579,643361,107,2110,"3","E. virginicus",1910,34702,19399,8939,3069,24579,643361,667940,856209,66109,14.2675444897216,7.72112883653407,78.0113266737444,"pre-1970","E+"
"14",-101.302104,36.2014217,"KANU_ELVI_107","ELVI","KANU00183781","United States","Texas","Hansford","Gruver, 1 mi SE",1974,8,6,0,"FaithHill",NA,21,"KANU00183781","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Hansford, Texas, United States",NA,36.25474,-101.39311,"seed",2,1,0,"10/20/2023",1,NA,NA,NA,"Scorer13","Collector821",9.42844581604004,"KANU00183781","Steve Stephens","Stephens","Steve","Hansford, Texas, United States",NA,36.25474,-101.39311,"seed",2,1,0,"10/20/2023",1,NA,NA,NA,0,1238,0,13410,8801,1731,260,372,45,0,0,215935,154000,1334,475048,149,4842,"3","E. virginicus",1970,13410,8801,1731,260,1334,475048,476382,877165,24202,42.9316035181522,2.7591160158009,54.3092804660469,"post-1970","E+"
