Sample_id,Institution_specimen_id,Spp_code,new_id,primary_collector,collector_lastname,collector_firstname,collector_full_string,collector_string,location_string,Country,State,County_fixed,County,Municipality,Locality,hand_georef_lat,hand_georef_lon,year,month,day,tissue_type,seed_scored,seed_eplus,Endo_status_liberal,Endo_status_conservative,Date_scored,scorer_id,score_number,surface_area_cm2,mean_infl_length,mean_inflplusawn_length,infl_count,scorer_factor,collector_factor,county_label,lon,lat,type,loctype,address,north,south,east,west,Herb_code,spp_code,specimen_code,tissue_code
AM_AGHY_1,TAES36966,AGHY,TAES36966,B. C. Tharp,Tharp,B.,B. Tharp,B Tharp,"Bastrop County, Texas, United States",United States,Texas,Bastrop County,Bastrop,NA,NA,NA,NA,1941,5,9,seed,4,2,1,1,12/12/2019,LaniDufresne,1,NA,NA,NA,NA,Scorer19,Collector99, County,-97.35165579999999,30.0458708,administrative_area_level_2,approximate,"bastrop county, tx, usa",30.4196421,29.786541,-97.024461,-97.64936999999999,AM,AGHY,1,NA
AM_AGHY_10,TAMU12299,AGHY,TAMU12299,Terry Hightower,Hightower,Terry,Terry Hightower,T Hightower,"Burleson County, Texas, United States",United States,Texas,Burleson County,Burleson,NA,NA,NA,NA,1984,4,15,seed,5,3,1,1,12/12/2019,LaniDufresne,1,NA,NA,NA,NA,Scorer19,Collector846, County,-96.663812,30.4500257,administrative_area_level_2,approximate,"burleson county, tx, usa",30.7308191,30.2955489,-96.27181600000002,-96.96363009999999,AM,AGHY,10,NA
AM_AGHY_101,TAES269315,AGHY,TAES269315,S. L. Hatch,Hatch,S.,S. Hatch,S Hatch,"Brazos County, Texas, United States",United States,Texas,Brazos County,Brazos,NA,S of Koppe Bridge along banks of the Brazos River. F.W. Fould property about 3.5 mi W of Wellborn.,NA,NA,1974,4,24,seed,5,3,1,1,12/12/2019,LaniDufresne,1,NA,NA,NA,NA,Scorer19,Collector800, County,-96.3226072,30.6504141,administrative_area_level_2,approximate,"brazos county, tx, usa",30.9737371,30.3302879,-96.0799691,-96.60185399999999,AM,AGHY,101,NA
AM_AGHY_102,TAES236822,AGHY,TAES236822,NA,NA,NA,NA NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,seed,5,4,1,1,12/12/2019,LaniDufresne,1,NA,NA,NA,NA,Scorer19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AM,AGHY,102,NA
AM_AGHY_103,TAES56529,AGHY,TAES56529,NA,NA,NA,NA NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,seed,6,4,1,1,12/12/2019,LaniDufresne,1,NA,NA,NA,NA,Scorer19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AM,AGHY,103,NA
AM_AGHY_105,TAMU020934-5,AGHY,TAMU020934-5,NA,NA,NA,NA NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,seed,5,5,1,1,12/12/2019,LaniDufresne,1,NA,NA,NA,NA,Scorer19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AM,AGHY,105,NA
AM_AGHY_108,TAMU10282,AGHY,TAMU10282,Sue Lustick,Lustick,Sue,Sue Lustick,S Lustick,"College Station, Brazos Co. Arboretum, Brazos County, Texas, United States",United States,Texas,Brazos County,Brazos,"College Station, Brazos Co. Arboretum","Brazos Co. Arboretum, now D. A. ""Andy"" Anderson Arboretum at S. dead end Anderson Street",NA,NA,1982,4,18,seed,3,0,0,0,12/12/2019,LaniDufresne,1,NA,NA,NA,NA,Scorer19,Collector811, County,-96.3344068,30.627977,locality,approximate,"college station, tx, usa",30.658327,30.51648,-96.1965461,-96.387497,AM,AGHY,108,NA
AM_AGHY_11,TAES236823,AGHY,TAES236823,"John L. Launchbaugh, Jr.",Launchbaugh ,John,John Launchbaugh ,J Launchbaugh ,"Burleson County, Texas, United States",United States,Texas,Burleson County,Burleson,NA,NA,NA,NA,1951,5,5,seed,5,0,0,0,12/12/2019,LaniDufresne,1,NA,NA,NA,NA,Scorer19,Collector439, County,-96.663812,30.4500257,administrative_area_level_2,approximate,"burleson county, tx, usa",30.7308191,30.2955489,-96.27181600000002,-96.96363009999999,AM,AGHY,11,NA
AM_AGHY_110,TAES33405,AGHY,TAES33405,R. G. Reeves,Reeves,R.,R. Reeves,R Reeves,"Brazos County, Texas, United States",United States,Texas,Brazos County,Brazos,NA,NA,NA,NA,1942,NA,NA,seed,5,0,0,0,12/12/2019,LaniDufresne,1,NA,NA,NA,NA,Scorer19,Collector747, County,-96.3226072,30.6504141,administrative_area_level_2,approximate,"brazos county, tx, usa",30.9737371,30.3302879,-96.0799691,-96.60185399999999,AM,AGHY,110,NA
AM_AGHY_111,TAES171468,AGHY,TAES171468,Frank W. Gould,Gould,Frank,Frank Gould,F Gould,"Brazos County, Texas, United States",United States,Texas,Brazos County,Brazos,NA,NA,NA,NA,1978,4,26,seed,5,5,1,1,12/12/2019,LaniDufresne,1,NA,NA,NA,NA,Scorer19,Collector294, County,-96.3226072,30.6504141,administrative_area_level_2,approximate,"brazos county, tx, usa",30.9737371,30.3302879,-96.0799691,-96.60185399999999,AM,AGHY,111,NA
