buffer,lon,lat,mean_TIN,mean_NO3,mean_NH4
10km,-109.9913694,42.9547905,9.192645809867166,4.17058510130102,5.022060827775435
10km,-106.7234639,35.6020667,9.939722017808394,4.85398148948496,5.0857404253699565
10km,-106.2117882,41.1785008,15.048129038377242,7.168072429570285,7.880056554620916
10km,-106.2051484,31.8039824,9.310418259013783,4.204549453475258,5.105868783864108
10km,-106.0434449,31.9163705,10.568794185465032,4.7663832902908325,5.802410754290494
10km,-105.8184564,40.2519897,16.96068876439875,8.238886789842086,8.721802147951992
10km,-105.7820674,39.5500507,24.065953601490367,11.312412933869796,12.753540429201992
10km,-105.5005483,40.1512114,20.992091048847545,9.713802922855724,11.278288321061568
10km,-105.4780381,32.8895419,15.578916679729115,7.0308002992109815,8.548116315494884
10km,-104.4723301,38.9108325,17.158895882693205,7.494510401378978,9.664385622197932
10km,-104.1930918,30.750805,15.872891729528254,6.964532136917114,8.908359679308804
10km,-104.1674118,30.6332044,17.087299823760986,7.504268797961148,9.583030744032426
10km,-103.5988057,43.7666507,25.527436516501687,9.641181924126364,15.886254570700906
10km,-103.3587288,29.6629938,11.070421327244151,4.679200318726626,6.391221111471003
10km,-102.989615,41.6552418,21.85919575257735,8.430824561552567,13.428371234373612
10km,-102.6216211,35.4247226,20.966808969324287,8.05486430905082,12.911944649436258
10km,-102.5298028,35.0017354,23.047951438210227,8.946885238994252,14.10106611251831
10km,-102.2547919,42.3613076,25.25167010047219,9.388178196820347,15.863491795279764
10km,-101.7979613,37.1333387,25.54341641339389,8.400881637226451,17.14253468946977
10km,-101.7979613,38.4738028,26.023732575503264,8.976714101704685,17.047018267891623
10km,-101.6157773,40.1306121,25.808306260542437,9.236654606732456,16.571651458740234
10km,-101.5248055,41.1815863,28.946136691353537,9.941781304099344,19.004355018789116
10km,-101.4339148,36.3183749,29.01375822587447,8.969568967819214,20.044189496473834
10km,-101.4339148,36.8301318,28.145733226429332,8.624153939160434,19.52157874540849
10km,-101.4062723,36.2650314,29.02195340936834,9.119951334866611,19.902001901106402
10km,-101.1617356,29.8687682,16.58710306340998,7.251495383002541,9.335607702081854
10km,-101.0711758,40.1844599,29.503645636818625,10.128941947763616,19.374703493985262
10km,-100.8903099,35.8540979,28.35893474925648,10.125824841586025,18.233109777623955
10km,-100.8903099,37.221014,27.563970305702902,9.440716396678578,18.12325416911732
10km,-100.8903099,38.0625252,28.246917551214043,9.340388102964921,18.90652951327237
10km,-100.8534779,43.2327824,29.343349023298785,10.574038202112371,18.769310734488748
10km,-100.8000051,40.9338037,36.250598127191715,11.126217170195146,25.12438102201982
10km,-100.5296115,31.8277663,21.484495986591686,9.023118181662126,12.461377837441184
10km,-100.5296115,36.7440186,27.291024641557172,9.709453344345093,17.581570885398172
10km,-100.5296115,38.9271279,31.85282481800426,10.136865485798229,21.715959765694357
10km,-100.5296115,40.2353963,31.78934236006303,10.82161604274403,20.967726490714334
10km,-100.5252843,41.0785928,37.18161288174716,11.484244259920986,25.69736957550049
10km,-100.439656,31.3839017,21.679149454290215,9.181756062941117,12.497393239628185
10km,-100.439656,37.6840811,28.44139406897805,9.945247801867398,18.49614598534324
10km,-100.3737447,44.3535933,24.10996593128551,8.641547484831376,15.468418164686723
10km,-100.3497895,35.9022267,28.465687188235197,10.66154991496693,17.8041370565241
10km,-100.3497895,37.2698449,29.250061078505084,10.520992582494562,18.72906832261519
10km,-100.2953039,46.2061318,23.95074276490645,8.600384625521572,15.350357922640713
10km,-99.9912254,39.7959566,31.083489591425117,10.97817418792031,20.105314904993232
10km,-99.9912254,40.121397,33.26997557553378,11.628563555804165,21.64141251824119
10km,-99.8934619,38.0844625,31.359697515314277,11.206014676527543,20.153682838786732
10km,-99.8124935,29.8851459,24.087196956981312,10.460326433181763,13.626870567148382
10km,-99.8124935,39.3198302,30.521832032637164,10.804551232944835,19.717280474576082
10km,-99.634135,35.616176,28.73897509141402,11.219000447880138,17.51997436176647
10km,-99.4909468,36.8019758,29.17057566209273,11.272679589011453,17.897896029732443
10km,-99.456155,30.0945305,24.852613275701348,10.70868747884577,14.143926056948574
10km,-99.456155,40.4903536,33.56512607227672,11.986519054933028,21.578607255762275
10km,-99.4376352,48.2888882,24.884751536629416,8.813854293389754,16.07089749249545
10km,-99.3903862,36.4336481,31.12266427820379,12.140667633576827,18.98199679634788
10km,-99.3673084,36.413792,31.235526605085894,12.196911378340287,19.03861461986195
10km,-99.3673084,39.766638,31.37853821841153,11.411294330250133,19.967243931510232
10km,-99.3267702,38.8791783,32.85731887817383,12.111243529753251,20.746074893257834
10km,-99.2785583,30.6556091,25.363473372025922,10.800131190906871,14.563342397863215
10km,-99.2785583,31.2016122,25.952121344479647,11.054736484180797,14.897384903647684
10km,-99.2785583,37.1894543,30.8624794699929,11.89012302051891,18.97235631942749
