buffer,lon,lat,year,TIN,NO3,NH4
10km,-100.2953039,46.2061318,1999,29.91217613220215,13.108692169189453,16.803482055664062
10km,-100.2953039,46.2061318,2000,24.178668975830078,10.311860084533691,13.86681079864502
10km,-100.2953039,46.2061318,2001,27.700172424316406,11.96226692199707,15.73790454864502
10km,-100.2953039,46.2061318,2002,17.71457862854004,7.294328212738037,10.420248985290527
10km,-100.2953039,46.2061318,2003,18.98832130432129,7.360038757324219,11.62828254699707
10km,-100.2953039,46.2061318,2004,24.172935485839844,9.419123649597168,14.753809928894043
10km,-100.2953039,46.2061318,2005,24.750577926635742,9.652604103088379,15.097973823547363
10km,-100.2953039,46.2061318,2006,17.114530563354492,6.647084712982178,10.46744441986084
10km,-100.2953039,46.2061318,2007,31.00184440612793,10.897196769714355,20.104646682739258
10km,-100.2953039,46.2061318,2008,24.352916717529297,8.777329444885254,15.57558822631836
10km,-100.2953039,46.2061318,2009,22.25955581665039,8.081350326538086,14.178205490112305
10km,-100.2953039,46.2061318,2010,21.822595596313477,7.598867416381836,14.223729133605957
10km,-100.2953039,46.2061318,2011,26.429227828979492,9.671845436096191,16.757381439208984
10km,-100.2953039,46.2061318,2012,22.066669464111328,7.72191858291626,14.344751358032227
10km,-100.2953039,46.2061318,2013,33.324066162109375,10.200392723083496,23.123672485351562
10km,-100.2953039,46.2061318,2014,19.62957763671875,6.363434314727783,13.266143798828125
10km,-100.2953039,46.2061318,2015,21.73992156982422,6.847545146942139,14.892376899719238
10km,-100.2953039,46.2061318,2016,27.9686222076416,8.77547550201416,19.193145751953125
10km,-100.2953039,46.2061318,2017,17.592557907104492,5.394468307495117,12.198088645935059
10km,-100.2953039,46.2061318,2018,28.581127166748047,8.400189399719238,20.180938720703125
10km,-100.2953039,46.2061318,2019,32.4219970703125,10.762052536010742,21.65994644165039
10km,-100.2953039,46.2061318,2020,13.193699836730957,3.960397243499756,9.233302116394043
10km,-100.3497895,35.9022267,1999,30.760272979736328,14.106133460998535,16.654142379760742
10km,-100.3497895,35.9022267,2000,36.404151916503906,16.290103912353516,20.11404800415039
10km,-100.3497895,35.9022267,2001,35.507747650146484,15.137001037597656,20.370744705200195
10km,-100.3497895,35.9022267,2002,34.694725036621094,14.749506950378418,19.94521713256836
10km,-100.3497895,35.9022267,2003,26.878799438476562,10.763472557067871,16.115327835083008
10km,-100.3497895,35.9022267,2004,30.85890769958496,12.387598037719727,18.471309661865234
10km,-100.3497895,35.9022267,2005,30.99458122253418,12.32303524017334,18.671546936035156
10km,-100.3497895,35.9022267,2006,24.144393920898438,9.5749053955078125,14.569489479064941
10km,-100.3497895,35.9022267,2007,28.443201065063477,10.226716995239258,18.21648406982422
10km,-100.3497895,35.9022267,2008,28.29652976989746,11.0460786819458,17.25044822692871
10km,-100.3497895,35.9022267,2009,24.258609771728516,8.781930923461914,15.476680755615234
10km,-100.3497895,35.9022267,2010,30.510053634643555,10.711027145385742,19.79902458190918
10km,-100.3497895,35.9022267,2011,15.261988639831543,5.497074604034424,9.764914512634277
