"Sample_id","Institution_specimen_id","Spp_code","new_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Country","State","County_fixed","County","Municipality","Locality","hand_georef_lat","hand_georef_lon","year","month","day","tissue_type","seed_scored","seed_eplus","Endo_status_liberal","Endo_status_conservative","Date_scored","scorer_id","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","infl_count","scorer_factor","collector_factor","county_label","lon","lat","type","loctype","address","north","south","east","west","Herb_code","spp_code","specimen_code","tissue_code"
"AM_ELVI_65","TAES272805","ELVI","TAES272805","R. J. Cecora","Cecora","R.","R. Cecora","R Cecora","Austin County, Texas, United States","United States","Texas","Austin County","Austin",NA,"Along roadside FM 949.",NA,NA,1991,6,1,"seed",5,0,0,0,"02/25/2020","EllaSegal",1,NA,NA,NA,NA,"Scorer10","Collector692"," County",-96.2800864,29.8711291,"administrative_area_level_2","approximate","austin county, tx, usa",30.0968329,29.601658,-96.004525,-96.62198,"AM","ELVI",65,NA
"BRIT_AGHY_171","BRIT408723","AGHY","BRIT408723","Geyata Ajilvsgi","Ajilvsgi","Geyata","Geyata Ajilvsgi","G Ajilvsgi","Grimes County, Texas, United States","United States","Texas","Grimes County","Grimes",NA,"Along Sulphur Springs Creek east of the dam on the Gibbons Creek Reservoir",NA,NA,1991,5,5,"seed",5,3,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector316"," County",-95.9832577,30.4829853,"administrative_area_level_2","approximate","grimes county, tx, usa",30.864125,30.225187,-95.804197,-96.1883141,"BRIT","AGHY",171,NA
"BRIT_AGHY_297","BRIT255533","AGHY","BRIT255533","R. K Godfrey","Godfrey","R.","R. Godfrey","R Godfrey","Leon County, Florida, United States","United States","Florida","Leon County","Leon",NA,"At chaires.",NA,NA,1991,4,30,"seed",4,4,1,1,"12/12/2019","LaniDufresne",1,93.136,NA,NA,NA,"Scorer19","Collector706"," County",-84.1857115,30.4906177,"administrative_area_level_2","approximate","leon county, fl, usa",30.685334,30.2734381,-83.9771651,-84.715359,"BRIT","AGHY",297,NA
"BRIT_AGHY_557","NLU0384963","AGHY","NLU0384963","S. Jones","Jones","S.","S. Jones","S Jones","Pushmataha County, Oklahoma, United States","United States","Oklahoma","Pushmataha County","Pushmataha",NA,"0.6 mi E on US 271 from its jct. with the Kiamichi River, NE of Antlers.",NA,NA,1991,5,18,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,114.107,NA,NA,NA,"Scorer19","Collector807"," County",-95.3102505,34.4820384,"administrative_area_level_2","approximate","pushmataha county, ok, usa",34.68118,34.1566369,-94.937457,-95.779517,"BRIT","AGHY",557,NA
"BRIT_ELVI_129","RachealWilliams102","ELVI","RachealWilliams102","Racheal Williams","Williams","Racheal","Racheal Williams","R Williams","Demun, Randolph County, Arkansas, USA","USA","Arkansas","Randolph County","Randolph","Demun","Found in woods in area surrounding Baltz Lake. Occurs with other grasses. Flowe color; green. Herbaceous.",NA,NA,1991,9,20,"seed",2,2,1,1,"10/20/2020","EllaSegal",1,NA,NA,NA,NA,"Scorer10","Collector777"," County",-90.9820668,36.3457918,"administrative_area_level_2","approximate","randolph county, ar, usa",36.498689,36.1148609,-90.7486371,-91.40724,"BRIT","ELVI",129,NA
"BRIT_ELVI_295","BRIT262770","ELVI","BRIT262770","James S. Miller","Miller","James","James Miller","J Miller","Crawford County, Missouri, United States","United States","Missouri","Crawford County","Crawford",NA,"Along Huzzah Creek, 1-3 mi. S of State Route 8. Sandbars and river banks along river.",37.83333,-91.2,1991,7,4,"seed",3,2,1,1,"10/20/2020","EllaSegal",1,227.596,6.7725,7.5275,2,"Scorer10","Collector450"," County",-91.2891036,38.0561057,"administrative_area_level_2","approximate","crawford county, mo, usa",38.2116389,37.6971979,-91.09394,-91.5353371,"BRIT","ELVI",295,NA
"BRIT_ELVI_315","NLU0399473","ELVI","NLU0399473","R. Dale Thomas","Thomas","R.","R. Thomas","R Thomas","Assumption Parish, Louisiana, United States","United States","Louisiana","Assumption Parish","Assumption",NA,"IFCO Pipe Comany beside LA 662 ca. 1.5 mi N of US 90 at Amelia Bridge",29.691828,-91.091567,1991,6,16,"seed",4,3,1,1,"10/20/2020","EllaSegal",1,52.444,7.103,7.792,1,"Scorer10","Collector766"," Parish",-91.09694,29.9232544,"administrative_area_level_2","approximate","assumption parish, la, usa",30.0817439,29.6268141,-90.8852661,-91.2599319,"BRIT","ELVI",315,NA
"BRIT_ELVI_362","NLU0399549","ELVI","NLU0399549","R. Dale Thomas","Thomas","R.","R. Thomas","R Thomas","Natchitoches Parish, Louisiana, United States","United States","Louisiana","Natchitoches Parish","Natchitoches",NA,"Roadbank of La. 156 west of Goldonna where the road crosses Big Fordache Creek;",NA,NA,1991,7,3,"seed",4,0,0,0,"10/20/2020","EllaSegal",1,131.115,11.927,13.846,2,"Scorer10","Collector766"," Parish",-93.1779659,31.6801229,"administrative_area_level_2","approximate","natchitoches parish, la, usa",32.1485241,31.3467331,-92.71619,-93.4416889,"BRIT","ELVI",362,NA
"KANU_ELVI_30","KANU00343690","ELVI","KANU00343690","Edward M Smith","Smith","Edward","Edward Smith","E Smith","Kent County, Michigan, United States","United States","Michigan","Kent County","Kent",NA,"Walker",42.924,-85.757,1991,8,5,"seed",3,0,1,0,"8/23/2023","KarlSchrader",1,NA,NA,NA,NA,"Scorer17","Collector269"," County",-85.520024,43.0097027,"administrative_area_level_2","approximate","kent county, mi, usa",43.294405,42.7680991,-85.309626,-85.7906621,"KANU","ELVI",30,NA
"LL_AGHY_169","RKGodfrey84131","AGHY","RKGodfrey84131","R. K. Godfrey","Godfrey","R.","R. Godfrey","R Godfrey","Chaires, Leon County, Florida, USA","USA","Florida","Leon County","Leon","Chaires","Plant forming denese tufts which are widely scattered in grassy meadow next to pond.",NA,NA,1991,4,30,"seed",5,5,1,1,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector706"," County",-84.1173935,30.4363129,"colloquial_area","approximate","chaires, fl 32317, usa",30.4376618802915,30.4349639197085,-84.1160445197085,-84.1187424802915,"LL","AGHY",169,NA
